clean_text,sentiment,source
really wanted like product coffee tasted thin funny somewhat sour aftertaste coffee lightly sweetened fine pleasant drink like starbucks shelfstable bottled drinks dont like type product general didnt like one buying future,Negative,Amazon
liked individual wrappingthe taste much preservative chemical taste repurchase try see dont mind extra taste,Negative,Amazon
got reviews let say first bagthis stuff definitely overratedim going compare orville redenbacher light fat free kettle popcorn usually get pops great unpopped kernels aspect theyre even taste way different jolly time doesnt taste good way salty kettle corn flavor like took normal salted butter corn sprinkled splenda half way salt overload texture wise jolly time fluffly either less fluffy white hard bitsim sure never eaten microwave popcorn would quite acceptable comparison brands lacks definitely disappointing purchase slowly eatfor many many many months since plethera selection doubt would buy jolly time againalso took amazon days date purchase get door thati think product deserves stars im going give slow shipping average rating come bit stars misleading,Negative,Amazon
easter bunny received looked nothing like picture white chalky looks like last years bunny decided recycle year,Negative,Amazon
wow one choplets left decided time order another case amazon way first started ordering amazon years ago case time order find price increased case couple previous posters noted received many dented cans case longer find dented cans acceptable looking elsewhere purchase think product absolutely delicious enjoying since childhood order amazon solely based principle,Negative,Amazon
need salt enjoy food gross flavor like red pepper expect chicken noodle chicken bits weird cans ridiculously dented,Negative,Amazon
really enjoy melitas canned coffee figured collection would real treat absolutely hated blend entirely matter taste believe actual quality coffee acceptable great bad description specify blend region location however assuredly arabican blendas stated matter individual taste personally detest arabica blends leave strange earthy aftertaste stays hours known arabica derived would purchased information entirely missing product descriptionfrom quality freshness blend taste aside purchasing melitta coffees bagged collection coffee nowhere near fresh grinds excessively dry somewhat stale,Negative,Amazon
purchased local hardware store lure works glue doesnt hold moths upon opening box discovered traps already prefolded use glue exposed air plastic protective covering different every trap ive used boxes like appears norm brand two lures included packaged individually thats great dont want use traps brands package togetheri noticed approximately moths flying around trap within first minutes clearly attracted lure two days later moth caught glue sides covered moth dust assume glue escapeesit wasnt total waste used lures separate bottle type trap worked great,Negative,Amazon
thought dogs good paying one bag pet store brought attention review amazon product made china probably takes slave labor month earn much never buy product buy healthy happy pet snooks instead,Negative,Amazon
husband drink dirrerent kinds coffee ordered one based great reviews dont like smells like cat urine robust flavor smooth wouldnt recommend anyone stuck nasty coffee however valuable lesson learned never buy coffee without taste test,Negative,Amazon
ive previously subscribe save last year next time went order dropped ss recently noticed back ss decided order received order fairly quickly usual cans damaged point least one able open amazon must something way package stuff discovered another disconcerting thing received would call chili maybe chili soup unlike wolf brand chili ever past product poured past would spoon chili beans get wolf brand reduced meat beans using water wbs quality diminishedupdatedsince unloading case discovered every single dented worse others couple likely beyond opening also wonder contents would safe eat drop quality product bad enough state delivery unacceptable ill contacting amazon shouldnt sell canned goods cant deliver properly buyer beware,Negative,Amazon
brownie mix ok great means cake like crumbly without much flavor next day already gritty worth eating almost impossible add frosting,Negative,Amazon
guess desparate germans living states get germany less one,Negative,Amazon
chip fanatics house decided try claim healthier alternative regular chips admit great crunch something ricecake kettle chip texture also nice similar ricecake great potato flavor big issue sodium level four five chips theyre almost unbearable salt really stop tasting anything salt review nutritional facts showed sodium per serving almost double standard potato chip serving original flavori cant imagine salt pepper style must likei would buy regularly cut salt salt factor dont think call healthy alternative chips,Negative,Amazon
use glass tasty ovaline chocolate malt every day new formula bitter calories doesnt dissolve well isnt chocolatey malty enough im disappointed even worse wrote said email acknowledged meaning theres even person reading complaints im going public encouraging fellow ovaltine lovers write reviews return purchases hopefully get attention,Negative,Amazon
tell people stay away msg nutrasweet harm nervous system earlier week patient told found soup stock didnt msg asked bring included ingredients hydrolyzed corn wheat gluten soy proteins yeast extractsure dont put monosodium glutamate concoction hydrolyzed proteins yeast extracts contain high levels free glutamates stuff cause headaches muscle contractions chest pain mood swings insomnia many people truth labeling people arguing years look picture asterisk next added msg fine print say naturally occurs hydrolyzed proteins yeast extract truth put crap increase glutamate contentso recommend eliminate intake msg already dont get duped labelingfor information see bad taste msg symptom complex monosodium glutamate major cause treatable preventable illnesses headaches asthma epilepsy heartand excitotoxins taste killsthis review originally posted website,Negative,Amazon
stuck bag flavors taste like plastic upset taffy town way better taffy town assorted salt water taffy lb,Negative,Amazon
looking something else completely dont know ended first bottle small like inch maybe inch half tall sparkles expecting hard describe looking orange colored sugar also disappointing much would several bottles decorate cake doz cup cakesi knew didnt want moment opened box sadly forgot anything late stuck,Negative,Amazon
wouldnt buy bottle hard work pancakes good prefer original pancake mix one,Negative,Amazon
loved cookiesi buying fast store got store ran ordered entire case online order last pack got store shells one cookie nuts tried contact us site got one amazon full excuses contact manufacturer said go almondina site get almondina doesnt want address issuei done cookies warning danger chock full shells may cause injury teeth mouth dental appliancesand one cares want,Negative,Amazon
warning placed item description product contains monosodium glutamate msg dangerous excitotoxin problematic many people indication item description case fully agree another reviewer item also extremely salty cannot consumed msg also heightens salty taste item puff nicely microwave inedible saltiness packages thrown reason surprised many excellent reviews product amazoncom gets wonderful handling problem,Negative,Amazon
candle work strong smell would think would best bug repellent ever two mosquito bites leg prove darn thing less feet away,Negative,Amazon
love black licorice different taste good way salty like anchovies fact seemed bit fishy,Negative,Amazon
third purchase crackers surprised see first package brown edges second package case overcooked third package crackers brown top disappointing burned taste,Negative,Amazon
bought hoping restaurant alternative pay extra money go isnt worth cut water half still watery bland boring indian tasting,Negative,Amazon
shipping item superb came packed securely noodles awful guess expecting noodle pasta like im glad didnt spend money product,Negative,Amazon
also ordered filler think picture deceiving package looks full come back double check make certain hadnt accidentally sent sample package order againdefinitely worth,Negative,Amazon
bought expecting would like local coconut milk half fat amazon say cans dented quite disappointed wont buy,Negative,Amazon
let marketing director screw recipe related cost savings please give back chocolate,Negative,Amazon
received package every piece candy melted chocolate melt wrapper crumbled wrapper opened ordered product another vendor past issues candy melting none candy could eaten order vendor,Negative,Amazon
far worst hot chocolate ive ever trust im chocolate loverthe taste artificial creamy leaves bad taste fills half cup assume half cup pour milk already horribly ruined botherthe tassimo machine great besides choice certain products compliment like nastyyy,Negative,Amazon
lote hotel bad hotel,Negative,Trustpilot
one children neurological brain damage corn syrup quite detrimental system causes temper tantrums severe anger problems sleeping name things last days consumption corn syrup solids contain high fructose corn syrup naturally occurring substance shocked read ingredient list realized corn syrup included allnatural snack toddlers ordered daughter could return since food item parents please careful feed children,Negative,Amazon
apparently small market us seniors yrs nostalgiaattempting relive youth pennycandy store collection seemed promising perhaps storeage since candy driedout stale familiar names packaging provided satisfactionbut price give break,Negative,Amazon
sing band wanted comfort throat show girlfriend became sick couldnt finish teawe bought many teas company happy warning one,Negative,Amazon
disappointed akc labelin display show madein china im trying avoid petproducts made china,Negative,Amazon
son celiacs loved glutino wafers chocolate dark chocolate varieties rd box opened one bars went bite equivalent biting sort spongy rock immediately spit chocolate fallen mouth biting bar seemed extremely stale went ahead opened remaining bars box rest normal also noted package product made israel processed canada sent usa bought seems like one bars floated around facility quite time actually packaged sent worse knows im glad year old son bit iti tried contacting glutino happened tried calling several times well sent messages via internet response went suspicious right scary hiding treat costumers treat foodplease forewarned going gluten free isnt easy glutino big brand celiacs grocery list since incident avoid glutino costs,Negative,Amazon
bought product along dr mcdougalls right foods vegan curry brown wild rice pilaf dr mcdougalls hot sour noodle soup must say waste money behind dr mcdougalls products three products bought taste awful worst food ever ate far never experienced kind bad taste life going throw cups mcdougall give money back sure return items,Negative,Amazon
unless dog younger great teeth recommend try extremely hard,Negative,Amazon
item received pictured grantedit gum end world would thought something basic would sent pictured received packages different kinds mint vs assortment shown,Negative,Amazon
bought reading reviews well expecting callard bowser going taste anything like callard bowser buttery licorice okay caramel saltier taste stopped subscription,Negative,Amazon
leaf bag overall packaging quality good one family group friends likes tastesince positive reviews ive subjecting people since july purchase trying find least one person say tastes good luckit doesnt taste like peaches us taste makes gang say yuck like many different kinds flavored hot tea switch drinking black green iced tea usually decaf usually made sun tea us add sweetener us dont like peaches fresh canned reasons cant blame dislike taste simple fact flavored green tea maybe passion fruit someone else mentioned isnt cup tea,Negative,Amazon
trader joes product good quality buy straight tjs retailer selling product twice price tjs sells reprehensible shame,Negative,Amazon
ordered case black soy beans anticipation making low carb chili extremely disappointed case arrived cans dented concerned safe use,Negative,Amazon
rabbit wont eat pellets food around pellets decided get although contained pellets look darker larger hoping tasted different probably maybe rabbit would give chance opinion smelled like cigarette ash rabbit wouldnt eat avoided cant stand smell seems rabbit cant either spent petco ordered new bag kaytee rainbow rabbit food smells like playdoh paint last time ate every piece give idea bad strongly would recommend,Negative,Amazon
got case beans mail yesterday today got chance open box every single dented shrink wrapped case placed bigger box shrink wrap opened shipment dont think dents cans middle case dented come shrink wrap going write amazon eden see,Negative,Amazon
goldendoodle wouldnt touch one offered repeatedly would neighbors dog friends dog dont waste money unique may well end throwing trash expensive garbage shipping high naughtthankfully bought two customer service extremely rude overly condescending,Negative,Amazon
bought disappointed two stars ive tasted worse like idea dark chocolate really tastes like try hersheys pure dark extra dark instead,Negative,Amazon
read mixed reviews thought would worth try general advice seemed say follow directions closely try use thicker nontomato based sauce experience opened package smells sea fishy noodles color opaque rinsed noodles colander fishy smell mostly went away placed noodles boiling water minutes poured noodles back colander noodles white color hardly opaque blanche dual meaning dried noodles per instructions doused noodles alfredo saucetook bite taste fine noodles slimy nearly impossible chew took second bite almost threw ate veggies tried exact resultsmy wife exact opinion didnt want traumatize kids hard enough getting eat good stuffwhat comes texture unbearable literally induced nausea us fishy smell deal quite faint maybe plays part toowell give another shot build courage completely forget last night doesnt change things packs left get handed friends since seems many different opinion,Negative,Amazon
post packaging review order arrived fully sealed markings damage outside box cans severly dented assume packaged way even hard open opener still get subscribed monthly order happens probably cancel problems quality product dissatisfied way mailed,Negative,Amazon
omg thought blood pressure would hit walls artery instantly kill eating one papadum food needs repackaged contain less sodium content currently mg daily sodium intake mg eat one papadum wo going sodium requirement warning high blood pressure hypertension buy product killing,Negative,Amazon
hate write bad review something buying product based positive reviews share experienceunfortunately wonderful results many reviewers described purchased blue buffalo research current food science diet healthy coat formula deemed must superior product ive heard sd full fillers byproducts unhealthy whatnots everyone bragged cats loved blue buffalo became much healthier happier prettier case year old calico olivia hate coat noticeably less attractive shedding probably times sd shes also lost weight hasnt eating much petite lady doesnt need lose weight shes hungry come feeding time twice daily runs eagerly awaiting fed sees brand sticks nose granted wasnt expecting miracles bit disappointment guess every kittyim saying go buy sd purpose review want hear another side buy large bag bb,Negative,Amazon
stuff strong aroma vinegar taste bland wouldnt wish smell enemy stick worlds kitchen brand make vinegar jerky plain gross,Negative,Amazon
oklet blunt honest saydog crap would taste better wouldnt recommend eating dog crap cant imagine taste worse sorry know crassbut never tasted food product bad dont buy ityoull scrape horrible taste tongue,Negative,Amazon
follow directions package feed everyday days never got sour bread turn beautiful didnt sour taste taste like white bread,Negative,Amazon
husband like using mm tubes storing small items lids eventually snap wanted order tubes spent time pricing different mm tubes specifically wanted ounce tube pack ounce tube according product description tubes supposed mega sized sharing well theyre eat mms two bitesif youre looking mega sized tubes go seller specifically lists ounce description mm minis ounce tubes pack,Negative,Amazon
shouldnt pak one box would inline prices keurig cup offerings amazon,Negative,Amazon
continually amazed much pet stores retailers selling pet supplies charge basic stuff feline pine exception switched multiple cat household pine pellets first time ever dont smell cat urine however dont buy feline pine go local feed store buy pound equine bedding pellets per bag huge savings stuff,Negative,Amazon
right mind would pay box sell dollar stores,Negative,Amazon
one worst jerkies ever know good jerky anywhere close good jerky rubber rehydrate mouth,Negative,Amazon
ive tried annies mac cheese several times keep hoping well like last time im ever buying taste time tastes awful know makes sense true fake cheese covered cardboard closest get describing aftertaste especially gross doesnt smell hot either im blue box fan thats least edible times one much even tasted everything separate checked milk since new cartonmaybe bad tasted plain noodle left strainerthat ok even tasted remnants powder paper pouchnot horrible much like cheese curl makes bad mixed together knows never,Negative,Amazon
company basically selling ordinary honey bees may get nectar wildgrowing manuka plant make manuka honey bioactive umf rating means useless anyway amazon refuse sell,Negative,Amazon
dont mean imply one star rating isnt great product wanted point every cat one cats fine food bad diarrhea week switched another food vet said uncommon like people digestive tracts made differently cat problem food couple days probably best try another,Negative,Amazon
love idea amazon delivering things like direct door dog cody loves hell eat anything hes outside moment trying catch eat cicadas hes exactly connoisseurhowever problems product first price bit high currently amazon target walmartsecond really question quality ingredients first ingredients two real foods wheat beef im even certain wheat essential ingredient otherwise filler corn good dogs digestible mammals actually sugar good dogs chicken byproduct means groundup bones fat tendons things like lot petroleumbased dyes preservatives etcmost importantly price per pound buy good stuff example prairie natural dry dog food per poundmy recommendation regardless whether feed pet cheap stuff supplement pets diet scraps kitchen never ever feed dog table cooking instead well peel fat chicken keep little chunks veggies keep fridge next meal save money ensure dog gets fresh foods hisher diet essential enzymes etc,Negative,Amazon
worth creamer best sams club oz coffeemate creamer oz creamer math,Negative,Amazon
like coffee tastes like comes gas station youll love marked medium tastes mild strange aftertaste,Negative,Amazon
dont know much lentils taste like ones used buy india mauritius im disappointed,Negative,Amazon
waterproof durable boots get holes velcro strap comes apart overpriced cheap product bought lot less wanted buy last saw price thought maybe different product ones thing might last month dont use every day used mine walk dog snow least one got holes fell apart within couple weeks,Negative,Amazon
marked diet contains sucralose sickly sweet unpleasant sad say bought large order undrinkable,Negative,Amazon
product good amount box deceiving item next ordered showed box order arrived bbox gone back looked item state many box would ordered known box rather,Negative,Amazon
wasnt real impressed taste mix starts fizzy goes away pretty fast starts taste like vitamins dont really feel energy either really dont think says likely wont buy,Negative,Amazon
consumer reports rated crackers highest inorganic arsenic rice crackers market like crackers longer eat arsenic issue brown rice resolved,Negative,Amazon
likely worst deodorant ever made way make product worse unless makes break rash poisons protection use term loosely deodorant gives minimal im really active person overweight yet fails mask odor hours let alone whole day top actual smell deodorant horrendous apply deodorant nose slightly burn eyes almost water hilarious commercials revolve around attracting opposite sex smell would send female running im joking say id rather smell like body odor smell like axe deodorant days wore became completely selfconscious raising arms smelled bad offered almost protectionbuy gillette clear gel stay away trash,Negative,Amazon
bought coffee expecting lightroast coffee smooth body great flavor could found donut shops days gone doesnt fulfill either coffee described bold nothing light forget smooth body instead acidity bitterness found unpleasant im still debating tossing letting collect dust event need use im kcupsthis coffee made buy list,Negative,Amazon
hottest stuff every tried tried alot first put mouth bad bout seconds cant anything hang ride ane believe ride fun stuff shoud kept way reach children people heart problems illegal,Negative,Amazon
ordered pack maple sugar candies sorry say extremely disappointed hard rocks nearly impossible chew strange coloring areas pale white dark light would guess leftover chrismas sitting warehouse untli taste okay would recommend buy steer clear,Negative,Amazon
tea used delicious company recently changed recipe claiming new bolder flavor unfortunately tastes nothing like peach tea dont expect able return wont allow,Negative,Amazon
stuff terrible cat would eat vomit avoid costs brand,Negative,Amazon
reading one product review best product immediatley intrigued love good quality extra virgin olive oil always searching good bottles imported oil want flavor come especially salad warm bread want product disappoint oils strong found bottle flavor whatsoever could discern flavor said extra virgin olive oili great olives oils friend even brought back greece rich thick green amazing even come closei see four reviewers rated best dont know could wondering happened oil,Negative,Amazon
stuff sucksthey sell whole foods per oz bottle actual amazon price er isnt badif like drinking something tastes like shouldnt ever beena little bit mint lime tea sounds tasty incorrect tastes like took half teabag let steep hot mojito sounds sort tasty well tastes like someone mixed tea mojito werent satisfied squeezed couple limes glass satisfy lime fetish thats close powering nothing lime face tastes like needs diluted drinking checked bottle shake enjoy dilution requiredseriously whos making things whos taste testing whos buying bottles tea cause im stupiddont buy natural got catchy packaging sucks make sun tea back yard instead,Negative,Amazon
dogs normally eat anything everything wont touch havent found treat bucket theyll eat love smokehouse chicken strips chips hate disappointing,Negative,Amazon
waste money squirrels pay attention tried treat small arear trees keep digging holes,Negative,Amazon
ordered received today stale actually bounce kitchen counter bend almost half use date package year may theyll compost steer clear horrid product cant bothered wasting time money returning im pulverizing rolling pin giving dogs supper updated amazons customer service acknowledged email complaint promptly quickly credited account hats amazon great customer service never give dogs,Negative,Amazon
drink mostly sencha tea bought product hoping find low cost sencha still palatable tea good way learned valuable lesson cannot return grocery items amazon least thats told tried return chinese sencha many chinese teas really like ive yet sencha grown china anywhere near good japanese sencha,Negative,Amazon
